汉字,拼音,英文释义,场景标签,例句,category
人民币,rénmínbì,RMB,货币交易,我需要兑换人民币。I need to exchange RMB.,business
大幅,dàfú,substantially,市场分析,价格大幅上涨。Prices rose substantially.,business
改革,gǎigé,reform,政策改革,公司进行了改革。The company carried out reforms.,business
全球,quánqiú,global,国际贸易,我们的业务遍布全球。Our business is global.,business
消费者,xiāofèizhě,consumer,市场营销,消费者需求多样化。Consumer demands are diverse.,business
产业,chǎnyè,industry,产业发展,这是支柱产业。This is a pillar industry.,business
金融机构,jīnróngjīgòu,financial institution,金融服务,银行是金融机构。Banks are financial institutions.,business
反弹,fǎntán,rebound,股票市场,股市出现反弹。The stock market rebounded.,business
利润,lìrùn,profit,财务报告,公司利润增加了。Company profits increased.,business
信息,xìnxī,information,信息交流,我需要更多信息。I need more information.,business
股价,gǔjià,stock price,股票市场,股价稳定上升。Stock prices are rising steadily.,business
成本,chéngběn,cost,成本控制,我们要降低成本。We need to reduce costs.,business
会议,huìyì,meeting/conference,商务会议,明天有一个重要会议。There is an important meeting tomorrow.,business
议程,yìchéng,agenda,会议安排,请看会议议程。Please see the meeting agenda.,business
主持,zhǔchí,chair/host,会议管理,他主持了会议。He chaired the meeting.,business
发言,fāyán,speak/address,会议发言,请您发言。Please speak.,business
讨论,tǎolùn,discuss,会议讨论,我们需要讨论这个问题。We need to discuss this issue.,business
决议,juéyì,resolution,会议决定,会议通过了决议。The meeting passed a resolution.,business
记录,jìlù,record/minutes,会议记录,请做好会议记录。Please take meeting minutes.,business
参加,cānjiā,attend/participate,会议参与,我会参加会议。I will attend the meeting.,business
出席,chūxí,attend/be present,会议参与,总经理出席了会议。The CEO attended the meeting.,business
缺席,quēxí,absent,会议参与,他今天缺席了。He was absent today.,business
谈判,tánpàn,negotiation,商务谈判,我们正在谈判。We are negotiating.,business
合作,hézuò,cooperation,商务合作,我们需要合作。We need to cooperate.,business
协商,xiéshāng,consult/negotiate,商务谈判,双方正在协商。Both parties are consulting.,business
条件,tiáojiàn,condition/term,谈判条件,这些是我们的条件。These are our conditions.,business
要求,yāoqiú,requirement/demand,业务要求,客户有特殊要求。The customer has special requirements.,business
让步,ràngbù,concession,谈判策略,我们可以做出让步。We can make concessions.,business
妥协,tuǒxié,compromise,谈判策略,双方达成了妥协。Both sides reached a compromise.,business
方案,fāngàn,plan/scheme,项目方案,这是我们的方案。This is our plan.,business
建议,jiànyì,suggestion/proposal,业务建议,我有一个建议。I have a suggestion.,business
意见,yìjiàn,opinion,意见交流,请提出您的意见。Please give your opinion.,business
合同,hétóng,contract,合同管理,请签署合同。Please sign the contract.,business
协议,xiéyì,agreement,商务协议,我们签署了协议。We signed an agreement.,business
条款,tiáokuǎn,clause/term,合同条款,请仔细阅读条款。Please read the terms carefully.,business
签字,qiānzì,sign,合同签署,请在这里签字。Please sign here.,business
盖章,gàizhāng,stamp/seal,文件处理,需要盖公章。An official seal is needed.,business
履行,lǚxíng,fulfill/perform,合同执行,我们会履行合同。We will fulfill the contract.,business
违约,wéiyuē,breach of contract,法律条款,这是违约行为。This is a breach of contract.,business
终止,zhōngzhǐ,terminate,合同管理,合同已经终止。The contract has been terminated.,business
续签,xùqiān,renew,合同管理,我们需要续签合同。We need to renew the contract.,business
有效期,yǒuxiàoqī,validity period,时间期限,合同有效期是三年。The contract validity is three years.,business
财务,cáiwù,finance,财务管理,财务部门很重要。The finance department is important.,business
预算,yùsuàn,budget,财务规划,我们需要制定预算。We need to make a budget.,business
收入,shōurù,revenue/income,财务报告,公司收入增加了。Company revenue increased.,business
支出,zhīchū,expenditure,财务管理,要控制支出。We need to control expenditure.,business
账户,zhànghù,account,财务管理,请开立账户。Please open an account.,business
发票,fāpiào,invoice,财务单据,请开具发票。Please issue an invoice.,business
报销,bàoxiāo,reimbursement,财务流程,我需要报销费用。I need to reimburse expenses.,business
审计,shěnjì,audit,财务审查,公司正在审计。The company is being audited.,business
税收,shuìshōu,tax,财务税务,我们需要缴纳税收。We need to pay taxes.,business
盈利,yínglì,profit,财务指标,公司实现了盈利。The company made a profit.,business
亏损,kuīsǔn,loss,财务状况,公司出现了亏损。The company incurred losses.,business
债务,zhàiwù,debt,财务管理,公司有一些债务。The company has some debt.,business
融资,róngzī,financing,资金筹集,我们正在融资。We are raising financing.,business
现金,xiànjīn,cash,资金管理,我们需要现金流。We need cash flow.,business
结算,jiésuàn,settlement,财务处理,款项已经结算。The payment has been settled.,business
员工,yuángōng,employee/staff,人力资源,公司有200名员工。The company has 200 employees.,business
招聘,zhāopìn,recruitment,人才招聘,我们正在招聘。We are recruiting.,business
面试,miànshì,interview,招聘流程,明天有面试。There is an interview tomorrow.,business
简历,jiǎnlì,resume/CV,求职材料,请发送您的简历。Please send your resume.,business
培训,péixùn,training,员工发展,公司提供培训。The company provides training.,business
薪资,xīnzī,salary,薪酬福利,薪资待遇优厚。The salary is competitive.,business
福利,fúlì,welfare/benefit,员工福利,公司福利很好。Company benefits are good.,business
辞职,cízhí,resign,人事变动,他提交了辞职信。He submitted his resignation.,business
解雇,jiěgù,dismiss/fire,人事处理,公司解雇了他。The company fired him.,business
晋升,jìnshēng,promotion,职业发展,他得到了晋升。He got a promotion.,business
职位,zhíwèi,position/post,工作岗位,这是一个重要职位。This is an important position.,business
部门,bùmén,department,组织架构,我在市场部门工作。I work in the marketing department.,business
经理,jīnglǐ,manager,管理职位,他是销售经理。He is the sales manager.,business
总监,zongjiān,director,高级职位,她是财务总监。She is the finance director.,business
同事,tóngshì,colleague,工作关系,我的同事很友好。My colleagues are friendly.,business
营销,yíngxiāo,marketing,市场推广,我们需要营销策略。We need a marketing strategy.,business
推广,tuīguǎng,promote,市场推广,产品正在推广。The product is being promoted.,business
广告,guǎnggào,advertisement,宣传推广,我们要做广告。We need to advertise.,business
宣传,xuānchuán,publicity,品牌宣传,公司加强了宣传。The company strengthened publicity.,business
促销,cùxiāo,sales promotion,销售活动,现在有促销活动。There is a sales promotion now.,business
折扣,zhékòu,discount,价格优惠,我们提供折扣。We offer discounts.,business
竞争,jìngzhēng,competition,市场竞争,市场竞争很激烈。Market competition is fierce.,business
优势,yōushì,advantage,竞争优势,我们有竞争优势。We have competitive advantages.,business
劣势,lièshì,disadvantage,竞争分析,这是我们的劣势。This is our disadvantage.,business
渠道,qúdào,channel,销售渠道,我们有多个销售渠道。We have multiple sales channels.,business
客源,kèyuán,customer base,客户资源,客源很稳定。The customer base is stable.,business
需求,xūqiú,demand,市场需求,市场需求在增长。Market demand is growing.,business
供应,gōngyìng,supply,供应链,供应充足。The supply is sufficient.,business
订单,dìngdān,order,业务订单,我们收到了订单。We received an order.,business
配送,pèisòng,delivery,物流配送,我们提供配送服务。We provide delivery service.,business
项目,xiàngmù,project,项目管理,这是一个大项目。This is a big project.,business
计划,jìhuà,plan,项目规划,我们制定了计划。We made a plan.,business
进度,jìndù,progress,项目进展,项目进度正常。The project progress is normal.,business
完成,wánchéng,complete,任务完成,任务已经完成。The task is completed.,business
延期,yánqī,postpone/delay,时间调整,项目延期了。The project is delayed.,business
质量,zhìliàng,quality,质量控制,质量很重要。Quality is important.,business
验收,yànshōu,acceptance,项目验收,项目通过了验收。The project passed acceptance.,business
团队,tuánduì,team,团队建设,我们有一个好团队。We have a good team.,business
协调,xiétiáo,coordinate,团队协作,需要协调各方。We need to coordinate all parties.,business
分工,fēngōng,division of work,任务分配,我们要明确分工。We need clear division of work.,business
研发,yánfā,R&D,技术开发,公司重视研发。The company values R&D.,business
技术,jìshù,technology,技术创新,技术很先进。The technology is advanced.,business
创新,chuàngxīn,innovation,创新发展,我们要创新。We need to innovate.,business
专利,zhuānlì,patent,知识产权,公司申请了专利。The company applied for a patent.,business
设计,shèjì,design,产品设计,产品设计很好。The product design is good.,business
测试,cèshì,test,质量测试,产品正在测试。The product is being tested.,business
改进,gǎijìn,improve,持续改进,我们要改进产品。We need to improve the product.,business
升级,shēngjí,upgrade,技术升级,系统需要升级。The system needs an upgrade.,business
维护,wéihù,maintain,系统维护,定期维护很重要。Regular maintenance is important.,business
性能,xìngnéng,performance,产品性能,性能很稳定。The performance is stable.,business
采购,cǎigòu,procurement,物资采购,我们需要采购原材料。We need to procure raw materials.,business
供应商,gōngyìngshāng,supplier,供应链管理,这是我们的供应商。This is our supplier.,business
原材料,yuáncáiliào,raw material,生产资料,原材料价格上涨。Raw material prices are rising.,business
库存,kùcún,inventory,库存管理,库存充足。Inventory is sufficient.,business
仓库,cāngkù,warehouse,物流仓储,货物在仓库里。The goods are in the warehouse.,business
运输,yùnshū,transport,物流运输,货物正在运输中。The goods are being transported.,business
物流,wùliú,logistics,物流管理,物流很快。Logistics is fast.,business
报关,bàoguān,customs declaration,进出口,货物需要报关。The goods need customs declaration.,business
进口,jìnkǒu,import,国际贸易,我们进口产品。We import products.,business
出口,chūkǒu,export,国际贸易,公司出口到海外。The company exports overseas.,business
标准,biāozhǔn,standard,质量标准,产品符合标准。The product meets standards.,business
检验,jiǎnyàn,inspect,质量检验,产品需要检验。The product needs inspection.,business
认证,rènzhèng,certification,质量认证,公司通过了认证。The company passed certification.,business
缺陷,quēxiàn,defect,质量问题,产品有缺陷。The product has defects.,business
投诉,tóusù,complaint,客户反馈,客户提出了投诉。The customer made a complaint.,business
退货,tuìhuò,return,售后服务,客户要求退货。The customer requested a return.,business
换货,huànhuò,exchange,售后服务,可以换货。You can exchange it.,business
保修,bǎoxiū,warranty,售后服务,产品有一年保修。The product has a one-year warranty.,business
维修,wéixiū,repair,售后服务,我们提供维修服务。We provide repair service.,business
赔偿,péicháng,compensation,法律责任,公司会赔偿损失。The company will compensate for losses.,business
法律,fǎlǜ,law,法律事务,这符合法律。This complies with the law.,business
法规,fǎguī,regulation,法律规范,要遵守法规。We must comply with regulations.,business
政策,zhèngcè,policy,政策法规,政府发布了新政策。The government issued a new policy.,business
规定,guīdìng,regulation,规章制度,公司有明确规定。The company has clear regulations.,business
许可,xǔkě,permit/license,行政许可,我们获得了许可。We obtained the permit.,business
执照,zhízhào,license,营业执照,公司有营业执照。The company has a business license.,business
资质,zīzhì,qualification,企业资质,公司具备资质。The company has qualifications.,business
诉讼,sùsòng,lawsuit,法律纠纷,双方进入了诉讼。Both parties entered litigation.,business
仲裁,zhòngcái,arbitration,纠纷解决,通过仲裁解决。Resolved through arbitration.,business
知识产权,zhīshíchǎnquán,intellectual property,法律保护,保护知识产权。Protect intellectual property.,business
礼仪,lǐyí,etiquette,商务礼仪,商务礼仪很重要。Business etiquette is important.,business
问候,wènhòu,greet,社交礼仪,请向他问候。Please greet him.,business
介绍,jièshào,introduce,社交场合,让我介绍一下。Let me introduce.,business
名片,míngpiàn,business card,商务交流,这是我的名片。This is my business card.,business
礼物,lǐwù,gift,商务礼品,我们准备了礼物。We prepared gifts.,business
邀请,yāoqǐng,invite,商务活动,我们邀请您参加。We invite you to attend.,business
接待,jiēdài,receive/host,商务接待,我们会接待客户。We will receive the customers.,business
陪同,péitóng,accompany,商务服务,我会陪同您参观。I will accompany you on the tour.,business
预约,yùyuē,appointment,时间安排,我想预约时间。I want to make an appointment.,business
拜访,bàifǎng,visit,商务拜访,我们去拜访客户。We will visit the customer.,business
沟通,gōutōng,communicate,交流沟通,我们需要沟通。We need to communicate.,business
交流,jiāoliú,exchange,信息交流,欢迎交流意见。Welcome to exchange opinions.,business
反馈,fǎnkuì,feedback,信息反馈,请给我反馈。Please give me feedback.,business
回复,huífù,reply,邮件回复,我会尽快回复。I will reply soon.,business
确认,quèrèn,confirm,信息确认,请确认信息。Please confirm the information.,business
通知,tōngzhī,notify,信息通知,我会通知您。I will notify you.,business
联系,liánxì,contact,保持联系,请保持联系。Please keep in touch.,business
电话,diànhuà,telephone,通讯方式,请给我打电话。Please call me.,business
邮件,yóujiàn,email,电子邮件,请发邮件给我。Please send me an email.,business
传真,chuánzhēn,fax,文件传输,我会发传真。I will send a fax.,business
日程,rìchéng,schedule,时间安排,请查看日程。Please check the schedule.,business
安排,ānpái,arrange,时间规划,我会安排时间。I will arrange the time.,business
截止,jiézhǐ,deadline,时间期限,截止日期是明天。The deadline is tomorrow.,business
期限,qīxiàn,deadline,时间限制,请注意期限。Please note the deadline.,business
推迟,tuīchí,postpone,时间调整,会议推迟了。The meeting is postponed.,business
提前,tíqián,advance,时间提前,我们提前完成了。We finished ahead of schedule.,business
及时,jíshí,timely,时间要求,请及时处理。Please handle it timely.,business
准时,zhǔnshí,on time,时间准确,请准时到达。Please arrive on time.,business
延长,yáncháng,extend,时间延长,期限延长了。The deadline is extended.,business
持续,chíxù,continue,时间延续,项目持续进行。The project continues.,business
数据,shùjù,data,数据分析,我们需要分析数据。We need to analyze the data.,business
统计,tǒngjì,statistics,数据统计,这是销售统计。This is sales statistics.,business
报告,bàogào,report,报告撰写,请提交报告。Please submit the report.,business
分析,fēnxī,analyze,数据分析,我们要分析市场。We need to analyze the market.,business
图表,túbiǎo,chart,数据展示,请看这个图表。Please look at this chart.,business
比例,bǐlì,proportion,数据比例,市场份额比例是30%。Market share proportion is 30%.,business
百分比,bǎifēnbǐ,percentage,数据百分比,增长率是10%。The growth rate is 10%.,business
趋势,qūshì,trend,发展趋势,市场趋势向好。The market trend is positive.,business
预测,yùcè,forecast,未来预测,我们预测销售增长。We forecast sales growth.,business
评估,pínggū,evaluate,效果评估,需要评估效果。We need to evaluate the results.,business
战略,zhànlüè,strategy,战略规划,这是公司战略。This is the company strategy.,business
目标,mùbiāo,goal/target,目标设定,我们的目标是增长20%。Our goal is 20% growth.,business
规划,guīhuà,planning,长期规划,我们制定了五年规划。We made a five-year plan.,business
发展,fāzhǎn,development,企业发展,公司发展很快。The company is developing fast.,business
扩张,kuòzhāng,expansion,业务扩张,公司正在扩张。The company is expanding.,business
转型,zhuǎnxíng,transformation,企业转型,公司在转型升级。The company is transforming.,business
并购,bìnggòu,M&A,企业并购,公司计划并购。The company plans M&A.,business
重组,chóngzǔ,restructure,组织重组,企业进行了重组。The enterprise restructured.,business
退出,tuìchū,exit,市场退出,公司退出了市场。The company exited the market.,business
危机,wēijī,crisis,危机管理,公司面临危机。The company faces a crisis.,business
应对,yìngduì,respond,危机应对,我们要应对挑战。We need to respond to challenges.,business
处理,chǔlǐ,handle,问题处理,请处理这个问题。Please handle this issue.,business
解决,jiějué,solve,问题解决,问题已经解决。The problem is solved.,business
补救,bǔjiù,remedy,补救措施,我们采取了补救措施。We took remedial measures.,business
恢复,huīfù,recover,业务恢复,业务正在恢复。Business is recovering.,business
调整,tiáozhěng,adjust,策略调整,我们调整了策略。We adjusted the strategy.,business
改善,gǎishàn,improve,持续改善,情况在改善。The situation is improving.,business
监控,jiānkòng,monitor,风险监控,我们要监控风险。We need to monitor risks.,business
预防,yùfáng,prevent,风险预防,要预防风险。We need to prevent risks.,business
汇率,huìlǜ,exchange rate,货币兑换,今天的汇率是多少？What's the exchange rate today?,business
外汇,wàihuì,foreign exchange,外汇交易,我们需要兑换外汇。We need to exchange foreign currency.,business
证券,zhèngquàn,securities,证券市场,证券市场很活跃。The securities market is active.,business
债券,zhàiquàn,bond,债券投资,政府发行了债券。The government issued bonds.,business
期货,qīhuò,futures,期货交易,期货价格上涨了。Futures prices rose.,business
财政,cáizhèng,finance,财政预算,财政状况良好。The fiscal situation is good.,business
货款,huòkuǎn,payment for goods,货款结算,货款已经支付。Payment for goods has been made.,business
定金,dìngjīn,deposit,订金支付,请先付定金。Please pay the deposit first.,business
余额,yúé,balance,账户余额,账户余额充足。The account balance is sufficient.,business
转账,zhuǎnzhàng,transfer,资金转账,我需要转账。I need to transfer money.,business
决策,juécè,decision,管理决策,这是重要决策。This is an important decision.,business
执行,zhíxíng,execute,执行力,我们要执行计划。We need to execute the plan.,business
监督,jiāndū,supervise,监督管理,需要加强监督。We need to strengthen supervision.,business
考核,kǎohé,assess,绩效考核,年度考核开始了。Annual assessment has begun.,business
激励,jīlì,incentive,员工激励,公司有激励机制。The company has an incentive system.,business
流程,liúchéng,process,业务流程,优化工作流程。Optimize the work process.,business
制度,zhìdù,system,管理制度,公司制度完善。Company system is complete.,business
效率,xiàolǜ,efficiency,工作效率,提高工作效率。Improve work efficiency.,business
效益,xiàoyì,benefit,经济效益,经济效益显著。Economic benefits are significant.,business
责任,zérèn,responsibility,工作责任,这是我的责任。This is my responsibility.,business
份额,fèné,share,市场份额,市场份额增加了。Market share has increased.,business
占有率,zhànyǒulǜ,market share,市场占有,占有率达到30%。Market share reaches 30%.,business
定位,dìngwèi,positioning,市场定位,产品定位准确。Product positioning is accurate.,business
目标市场,mùbiāoshìchǎng,target market,市场策略,我们的目标市场是年轻人。Our target market is young people.,business
潜在客户,qiánzàikèhù,potential customer,客户开发,开发潜在客户。Develop potential customers.,business
忠诚度,zhōngchéngdù,loyalty,客户忠诚,提高客户忠诚度。Improve customer loyalty.,business
满意度,mǎnyìdù,satisfaction,客户满意,客户满意度很高。Customer satisfaction is high.,business
口碑,kǒubēi,reputation,品牌口碑,口碑很好。The reputation is good.,business
影响力,yǐngxiǎnglì,influence,品牌影响,品牌影响力扩大。Brand influence is expanding.,business
知名度,zhīmíngdù,popularity,品牌知名度,提高品牌知名度。Increase brand awareness.,business
设备,shèbèi,equipment,生产设备,更新生产设备。Update production equipment.,business
机器,jīqì,machine,机械设备,机器运转正常。The machine is running normally.,business
工艺,gōngyì,technology,生产工艺,改进生产工艺。Improve production technology.,business
产能,chǎnnéng,capacity,生产能力,扩大产能。Expand production capacity.,business
产量,chǎnliàng,output,生产产量,产量提高了。Output has increased.,business
效能,xiàonéng,efficiency,生产效能,提高生产效能。Improve production efficiency.,business
组装,zǔzhuāng,assembly,产品组装,产品正在组装。The product is being assembled.,business
包装,bāozhuāng,packaging,产品包装,包装很精美。The packaging is exquisite.,business
加工,jiāgōng,process,产品加工,产品正在加工。The product is being processed.,business
制造,zhìzào,manufacture,产品制造,中国制造。Made in China.,business
代理,dàilǐ,agent,销售代理,我们需要代理商。We need agents.,business
经销商,jīngxiāoshāng,distributor,销售网络,经销商遍布全国。Distributors are nationwide.,business
批发,pīfā,wholesale,批发零售,我们做批发业务。We do wholesale business.,business
零售,língshòu,retail,零售业务,零售价格更高。Retail price is higher.,business
提成,tíchéng,commission,销售提成,销售有提成。Sales have commission.,business
业绩,yèjì,performance,销售业绩,业绩突出。Outstanding performance.,business
指标,zhǐbiāo,indicator,业绩指标,完成了指标。The target is achieved.,business
配额,pèié,quota,销售配额,销售配额已完成。Sales quota is completed.,business
返利,fǎnlì,rebate,销售返利,有销售返利。There is a sales rebate.,business
回扣,huíkòu,kickback,商业回扣,禁止回扣。Kickbacks are prohibited.,business
软件,ruǎnjiàn,software,软件开发,开发新软件。Develop new software.,business
硬件,yìngjiàn,hardware,硬件设备,更新硬件设备。Update hardware equipment.,business
系统,xìtǒng,system,管理系统,系统很稳定。The system is stable.,business
平台,píngtái,platform,业务平台,搭建电商平台。Build an e-commerce platform.,business
网络,wǎngluò,network,网络技术,网络连接正常。Network connection is normal.,business
数据库,shùjùkù,database,数据管理,建立数据库。Establish a database.,business
接口,jiēkǒu,interface,系统接口,对接接口。Interface integration.,business
功能,gōngnéng,function,产品功能,功能强大。Powerful functions.,business
模块,mókuài,module,系统模块,添加新模块。Add new modules.,business
版本,bǎnběn,version,软件版本,升级到新版本。Upgrade to new version.,business
伙伴,huǒbàn,partner,合作伙伴,我们是合作伙伴。We are partners.,business
联盟,liánméng,alliance,战略联盟,建立战略联盟。Establish strategic alliance.,business
共赢,gòngyíng,win-win,合作共赢,实现合作共赢。Achieve win-win cooperation.,business
互利,hùlì,mutually beneficial,互利合作,互利互惠。Mutually beneficial.,business
双赢,shuāngyíng,win-win,双赢局面,创造双赢局面。Create a win-win situation.,business
资源,zīyuán,resource,资源整合,整合资源。Integrate resources.,business
优化,yōuhuà,optimize,资源优化,优化配置。Optimize allocation.,business
整合,zhěnghé,integrate,业务整合,整合业务。Integrate business.,business
协同,xiétóng,synergy,协同效应,产生协同效应。Generate synergy.,business
共享,gòngxiǎng,share,资源共享,实现资源共享。Achieve resource sharing.,business
跨国,kuàguó,transnational,跨国经营,跨国公司。Transnational corporation.,business
海外,hǎiwài,overseas,海外市场,拓展海外市场。Expand overseas market.,business
本土,běntǔ,local,本土化,实现本土化。Achieve localization.,business
总部,zǒngbù,headquarters,公司总部,总部在北京。Headquarters is in Beijing.,business
分公司,fēngōngsī,branch,分支机构,成立分公司。Establish a branch.,business
子公司,zigōngsī,subsidiary,控股公司,收购子公司。Acquire a subsidiary.,business
