汉字,拼音,英文释义,等级,词频,category
呢,ne5,question particle,1,5,hsk1
飞机,fēijī,airplane,1,5,hsk1
分钟,fēnzhōng,minute,1,5,hsk1
今天,jīntiān,today,1,5,hsk1
星期,xīngqī,week,1,5,hsk1
医生,yīshēng,doctor,1,5,hsk1
中国,zhōngguó,China,1,5,hsk1
中午,zhōngwǔ,noon,1,5,hsk1
高兴,gāoxìng,happy/glad,1,5,hsk1
工作,gōngzuò,work/job,1,5,hsk1
商店,shāngdiàn,shop/store,1,5,hsk1
天气,tiānqì,weather,1,5,hsk1
医院,yīyuàn,hospital,1,5,hsk1
杯子,bēizi,cup/glass,1,5,hsk1
东西,dōngxī,thing/stuff,1,5,hsk1
多少,duōshǎo,how much/many,1,5,hsk1
妈妈,māmā,mom/mother,1,5,hsk1
先生,xiānshēng,Mr./sir,1,5,hsk1
衣服,yīfú,clothes,1,5,hsk1
桌子,zhuōzi,table/desk,1,5,hsk1
明天,míngtiān,tomorrow,1,5,hsk1
昨天,zuótiān,yesterday,1,5,hsk1
同学,tóngxué,classmate,1,5,hsk1
学习,xuéxí,to study/learn,1,5,hsk1
没有,méiyǒu,not have/there is not,1,5,hsk1
苹果,píngguǒ,apple,1,5,hsk1
前面,qiánmiàn,in front/ahead,1,5,hsk1
学校,xuéxiào,school,1,5,hsk1
儿子,érzi,son,1,5,hsk1
名字,míngzì,name,1,5,hsk1
朋友,péngyǒu,friend,1,5,hsk1
什么,shénme,what,1,5,hsk1
时候,shíhòu,time/when,1,5,hsk1
学生,xuéshēng,student,1,5,hsk1
北京,běijīng,Beijing,1,5,hsk1
老师,lǎoshī,teacher,1,5,hsk1
女儿,nǚér,daughter,1,5,hsk1
水果,shuǐguǒ,fruit,1,5,hsk1
米饭,mǐfàn,rice,1,5,hsk1
怎么样,zěnmeyàng,how/how about,1,5,hsk1
我们,wǒmen,we/us,1,5,hsk1
喜欢,xǐhuān,to like,1,5,hsk1
小姐,xiǎojiě,Miss/young lady,1,5,hsk1
椅子,yǐzi,chair,1,5,hsk1
怎么,zěnme,how/why,1,5,hsk1
电脑,diànnǎo,computer,1,5,hsk1
电影,diànyǐng,movie/film,1,5,hsk1
对不起,duìbùqǐ,sorry,1,5,hsk1
汉语,hànyǔ,Chinese language,1,5,hsk1
上午,shàngwǔ,morning/a.m.,1,5,hsk1
下午,xiàwǔ,afternoon/p.m.,1,5,hsk1
下雨,xiàyǔ,to rain,1,5,hsk1
一点儿,yìdiǎnér,a little,1,5,hsk1
电视,diànshì,TV/television,1,5,hsk1
饭店,fàndiàn,restaurant/hotel,1,5,hsk1
看见,kànjiàn,to see,1,5,hsk1
睡觉,shuìjiào,to sleep,1,5,hsk1
现在,xiànzài,now,1,5,hsk1
再见,zàijiàn,goodbye,1,5,hsk1
爸爸,bàbà,dad/father,1,5,hsk1
后面,hòumiàn,behind/back,1,5,hsk1
漂亮,piàoliàng,beautiful/pretty,1,5,hsk1
认识,rènshí,to know/recognize,1,5,hsk1
谢谢,xièxiè,thank you,1,5,hsk1
出租车,chūzūchē,taxi,1,5,hsk1
没关系,méiguānxì,it doesn't matter,1,5,hsk1
不客气,búkèqì,you're welcome,1,5,hsk1
打电话,dǎdiànhuà,to make a phone call,1,5,hsk1
出,chū,to go out,2,4,hsk2
穿,chuān,to wear,2,4,hsk2
高,gāo,tall/high,2,4,hsk2
黑,hēi,black,2,4,hsk2
千,qiān,thousand,2,4,hsk2
它,tā,it,2,4,hsk2
新,xīn,new,2,4,hsk2
阴,yīn,cloudy/overcast,2,4,hsk2
真,zhēn,really/true,2,4,hsk2
白,bái,white,2,4,hsk2
别,bié,don't,2,4,hsk2
长,zhǎng,long,2,4,hsk2
从,cóng,from,2,4,hsk2
还,hái,still/also,2,4,hsk2
红,hóng,red,2,4,hsk2
离,lí,away from,2,4,hsk2
零,líng,zero,2,4,hsk2
忙,máng,busy,2,4,hsk2
门,mén,door/gate,2,4,hsk2
男,nán,male,2,4,hsk2
您,nín,you (polite),2,4,hsk2
晴,qíng,sunny/clear,2,4,hsk2
题,tí,question/problem,2,4,hsk2
完,wán,to finish,2,4,hsk2
玩,wán,to play,2,4,hsk2
鱼,yú,fish,2,4,hsk2
百,bǎi,hundred,2,4,hsk2
比,bǐ,to compare,2,4,hsk2
等,děng,to wait,2,4,hsk2
懂,dǒng,to understand,2,4,hsk2
给,gěi,to give,2,4,hsk2
两,liǎng,two,2,4,hsk2
每,měi,every/each,2,4,hsk2
女,nǚ,female,2,4,hsk2
往,wǎng,towards,2,4,hsk2
洗,xǐ,to wash,2,4,hsk2
雪,xuě,snow,2,4,hsk2
也,yě,also/too,2,4,hsk2
远,yuǎn,far,2,4,hsk2
找,zhǎo,to look for,2,4,hsk2
走,zǒu,to walk,2,4,hsk2
次,cì,time/occurrence,2,4,hsk2
错,cuò,wrong/mistake,2,4,hsk2
到,dào,to arrive,2,4,hsk2
对,duì,correct/right,2,4,hsk2
贵,guì,expensive,2,4,hsk2
过,guò,to pass/cross,2,4,hsk2
件,jiàn,piece (clothing),2,4,hsk2
进,jìn,to enter,2,4,hsk2
近,jìn,near/close,2,4,hsk2
就,jiù,then/just,2,4,hsk2
课,kè,class/lesson,2,4,hsk2
快,kuài,fast/quick,2,4,hsk2
累,lèi,tired,2,4,hsk2
路,lù,road/path,2,4,hsk2
卖,mài,to sell,2,4,hsk2
慢,màn,slow,2,4,hsk2
票,piào,ticket,2,4,hsk2
让,ràng,to let/allow,2,4,hsk2
日,rì,day/sun,2,4,hsk2
送,sòng,to send/give,2,4,hsk2
外,wài,outside/foreign,2,4,hsk2
问,wèn,to ask,2,4,hsk2
笑,xiào,to laugh/smile,2,4,hsk2
姓,xìng,surname/to be surnamed,2,4,hsk2
药,yào,medicine,2,4,hsk2
要,yào,to want/need,2,4,hsk2
再,zài,again,2,4,hsk2
最,zuì,most,2,4,hsk2
吧,ba5,particle,2,4,hsk2
得,dé,particle,2,4,hsk2
着,zhe5,particle,2,4,hsk2
公司,gōngsī,company,2,4,hsk2
咖啡,kāfēi,coffee,2,4,hsk2
西瓜,xīguā,watermelon,2,4,hsk2
非常,fēicháng,very/extremely,2,4,hsk2
虽然,suīrán,although,2,4,hsk2
宾馆,bīnguǎn,hotel/guesthouse,2,4,hsk2
机场,jīchǎng,airport,2,4,hsk2
开始,kāishǐ,to begin/start,2,4,hsk2
铅笔,qiānbǐ,pencil,2,4,hsk2
身体,shēntǐ,body/health,2,4,hsk2
帮助,bāngzhù,to help,2,4,hsk2
鸡蛋,jīdàn,egg,2,4,hsk2
生病,shēngbìng,to be sick,2,4,hsk2
生日,shēngrì,birthday,2,4,hsk2
说话,shuōhuà,to speak/talk,2,4,hsk2
希望,xīwàng,to hope/wish,2,4,hsk2
因为,yīnwèi,because,2,4,hsk2
哥哥,gēgē,older brother,2,4,hsk2
妻子,qīzǐ,wife,2,4,hsk2
休息,xiūxī,to rest,2,4,hsk2
知道,zhīdào,to know,2,4,hsk2
房间,fángjiān,room,2,4,hsk2
旁边,pángbiān,beside/next to,2,4,hsk2
时间,shíjiān,time,2,4,hsk2
牛奶,niúnǎi,milk,2,4,hsk2
游泳,yóuyǒng,to swim,2,4,hsk2
颜色,yánsè,color,2,4,hsk2
羊肉,yángròu,mutton/lamb,2,4,hsk2
一下,yīxià,a bit,2,4,hsk2
孩子,háizi,child/children,2,4,hsk2
觉得,juéde,to feel/think,2,4,hsk2
便宜,piányi,cheap/inexpensive,2,4,hsk2
好吃,hǎochī,delicious,2,4,hsk2
手机,shǒujī,mobile phone,2,4,hsk2
可能,kěnéng,possible/maybe,2,4,hsk2
旅游,lǚyóu,to travel/tour,2,4,hsk2
起床,qǐchuáng,to get up,2,4,hsk2
小时,xiǎoshí,hour,2,4,hsk2
可以,kěyǐ,can/may,2,4,hsk2
手表,shǒubiǎo,watch/wristwatch,2,4,hsk2
所以,suǒyǐ,so/therefore,2,4,hsk2
考试,kǎoshì,exam/test,2,4,hsk2
跑步,pǎobù,to run/jog,2,4,hsk2
准备,zhǔnbèi,to prepare,2,4,hsk2
姐姐,jiějiě,older sister,2,4,hsk2
晚上,wǎnshàng,evening/night,2,4,hsk2
眼睛,yǎnjīng,eye(s),2,4,hsk2
已经,yǐjīng,already,2,4,hsk2
早上,zǎoshàng,morning,2,4,hsk2
左边,zuǒbiān,left side,2,4,hsk2
唱歌,chànggē,to sing,2,4,hsk2
大家,dàjiā,everyone,2,4,hsk2
第一,dìyī,first,2,4,hsk2
上班,shàngbān,to go to work,2,4,hsk2
面条,miàntiáo,noodles,2,4,hsk2
去年,qùnián,last year,2,4,hsk2
问题,wèntí,question/problem,2,4,hsk2
报纸,bàozhǐ,newspaper,2,4,hsk2
跳舞,tiàowǔ,to dance,2,4,hsk2
一起,yìqǐ,together,2,4,hsk2
但是,dànshì,but/however,2,4,hsk2
教室,jiàoshì,classroom,2,4,hsk2
介绍,jièshào,to introduce,2,4,hsk2
快乐,kuàilè,happy/joyful,2,4,hsk2
运动,yùndòng,sports/exercise,2,4,hsk2
正在,zhèngzài,in the process of,2,4,hsk2
弟弟,dìdi,younger brother,2,4,hsk2
告诉,gàosù,to tell,2,4,hsk2
妹妹,mèimèi,younger sister,2,4,hsk2
事情,shìqíng,matter/affair/thing,2,4,hsk2
意思,yìsi,meaning,2,4,hsk2
右边,yòubiān,right side,2,4,hsk2
丈夫,zhàngfū,husband,2,4,hsk2
踢足球,tīzúqiú,踢足球,2,4,hsk2
服务员,fúwùyuán,服务员,2,4,hsk2
火车站,huǒchēzhàn,火车站,2,4,hsk2
打篮球,dǎlánqiú,打篮球,2,4,hsk2
为什么,wèishénme,为什么,2,4,hsk2
公共汽车,gōnggòngqìchē,公共汽车,2,4,hsk2
班,bān,班,3,3,hsk3
搬,bān,搬,3,3,hsk3
包,bāo,包,3,3,hsk3
春,chūn,春,3,3,hsk3
灯,dēng,灯,3,3,hsk3
东,dōng,东,3,3,hsk3
冬,dōng,冬,3,3,hsk3
发,fā,发,3,3,hsk3
分,fēn,分,3,3,hsk3
跟,gēn,跟,3,3,hsk3
关,guān,关,3,3,hsk3
花,huā,花,3,3,hsk3
教,jiào,教,3,3,hsk3
接,jiē,接,3,3,hsk3
哭,kū,哭,3,3,hsk3
秋,qiū,秋,3,3,hsk3
双,shuāng,双,3,3,hsk3
西,xī,西,3,3,hsk3
先,xiān,先,3,3,hsk3
张,zhāng,张,3,3,hsk3
只,zhǐ,只,3,3,hsk3
才,cái,才,3,3,hsk3
层,céng,层,3,3,hsk3
船,chuán,船,3,3,hsk3
极,jí,极,3,3,hsk3
蓝,lán,蓝,3,3,hsk3
楼,lóu,楼,3,3,hsk3
拿,ná,拿,3,3,hsk3
南,nán,南,3,3,hsk3
难,nán,难,3,3,hsk3
骑,qí,骑,3,3,hsk3
疼,téng,疼,3,3,hsk3
甜,tián,甜,3,3,hsk3
条,tiáo,条,3,3,hsk3
元,yuán,元,3,3,hsk3
矮,ǎi,矮,3,3,hsk3
把,bǎ,把,3,3,hsk3
饱,bǎo,饱,3,3,hsk3
草,cǎo,草,3,3,hsk3
短,duǎn,短,3,3,hsk3
讲,jiǎng,讲,3,3,hsk3
角,jiǎo,角,3,3,hsk3
脚,jiǎo,脚,3,3,hsk3
久,jiǔ,久,3,3,hsk3
渴,kě,渴,3,3,hsk3
口,kǒu,口,3,3,hsk3
老,lǎo,老,3,3,hsk3
脸,liǎn,脸,3,3,hsk3
马,mǎ,马,3,3,hsk3
米,mǐ,米,3,3,hsk3
鸟,niǎo,鸟,3,3,hsk3
伞,sǎn,伞,3,3,hsk3
腿,tuǐ,腿,3,3,hsk3
碗,wǎn,碗,3,3,hsk3
种,zhǒng,种,3,3,hsk3
嘴,zuǐ,嘴,3,3,hsk3
半,bàn,半,3,3,hsk3
被,bèi,被,3,3,hsk3
差,chà,差,3,3,hsk3
带,dài,带,3,3,hsk3
地,dì,地,3,3,hsk3
段,duàn,段,3,3,hsk3
饿,è,饿,3,3,hsk3
放,fàng,放,3,3,hsk3
画,huà,画,3,3,hsk3
坏,huài,坏,3,3,hsk3
换,huàn,换,3,3,hsk3
借,jiè,借,3,3,hsk3
旧,jiù,旧,3,3,hsk3
刻,kè,刻,3,3,hsk3
辆,liàng,辆,3,3,hsk3
绿,lǜ,绿,3,3,hsk3
胖,pàng,胖,3,3,hsk3
试,shì,试,3,3,hsk3
瘦,shòu,瘦,3,3,hsk3
树,shù,树,3,3,hsk3
万,wàn,万,3,3,hsk3
为,wèi,为,3,3,hsk3
位,wèi,位,3,3,hsk3
夏,xià,夏,3,3,hsk3
向,xiàng,向,3,3,hsk3
像,xiàng,像,3,3,hsk3
用,yòng,用,3,3,hsk3
又,yòu,又,3,3,hsk3
越,yuè,越,3,3,hsk3
站,zhàn,站,3,3,hsk3
啊,a5,啊,3,3,hsk3
冰箱,bīngxiāng,冰箱,3,3,hsk3
参加,cānjiā,参加,3,3,hsk3
担心,dānxīn,担心,3,3,hsk3
发烧,fāshāo,发烧,3,3,hsk3
公斤,gōngjīn,公斤,3,3,hsk3
刮风,guāfēng,刮风,3,3,hsk3
关心,guānxīn,关心,3,3,hsk3
几乎,jīhū,几乎,3,3,hsk3
声音,shēngyīn,声音,3,3,hsk3
司机,sījī,司机,3,3,hsk3
香蕉,xiāngjiāo,香蕉,3,3,hsk3
新鲜,xīnxiān,新鲜,3,3,hsk3
应该,yīnggāi,应该,3,3,hsk3
中间,zhōngjiān,中间,3,3,hsk3
阿姨,āyí,阿姨,3,3,hsk3
帮忙,bāngmáng,帮忙,3,3,hsk3
当然,dāngrán,当然,3,3,hsk3
刚才,gāngcái,刚才,3,3,hsk3
公园,gōngyuán,公园,3,3,hsk3
关于,guānyú,关于,3,3,hsk3
欢迎,huānyíng,欢迎,3,3,hsk3
经常,jīngcháng,经常,3,3,hsk3
空调,kōngtiáo,空调,3,3,hsk3
刷牙,shuāyá,刷牙,3,3,hsk3
突然,tūrán,突然,3,3,hsk3
新闻,xīnwén,新闻,3,3,hsk3
要求,yāoqiú,要求,3,3,hsk3
中文,zhōngwén,中文,3,3,hsk3
终于,zhōngyú,终于,3,3,hsk3
黑板,hēibǎn,黑板,3,3,hsk3
经理,jīnglǐ,经理,3,3,hsk3
安静,ānjìng,安静,3,3,hsk3
超市,chāoshì,超市,3,3,hsk3
发现,fāxiàn,发现,3,3,hsk3
方便,fāngbiàn,方便,3,3,hsk3
干净,gānjìng,干净,3,3,hsk3
根据,gēnjù,根据,3,3,hsk3
机会,jīhuì,机会,3,3,hsk3
街道,jiēdào,街道,3,3,hsk3
经过,jīngguò,经过,3,3,hsk3
生气,shēngqì,生气,3,3,hsk3
相信,xiāngxìn,相信,3,3,hsk3
需要,xūyào,需要,3,3,hsk3
音乐,yīnyuè,音乐,3,3,hsk3
周末,zhōumò,周末,3,3,hsk3
聪明,cōngmíng,聪明,3,3,hsk3
多么,duōme,多么,3,3,hsk3
关系,guānxì,关系,3,3,hsk3
清楚,qīngchǔ,清楚,3,3,hsk3
叔叔,shūshū,叔叔,3,3,hsk3
舒服,shūfú,舒服,3,3,hsk3
国家,guójiā,国家,3,3,hsk3
结婚,jiéhūn,结婚,3,3,hsk3
离开,líkāi,离开,3,3,hsk3
聊天,liáotiān,聊天,3,3,hsk3
邻居,línjū,邻居,3,3,hsk3
年轻,niánqīng,年轻,3,3,hsk3
爬山,páshān,爬山,3,3,hsk3
其他,qítā,其他,3,3,hsk3
提高,tígāo,提高,3,3,hsk3
熊猫,xióngmāo,熊猫,3,3,hsk3
黄河,huánghé,黄河,3,3,hsk3
回答,huídá,回答,3,3,hsk3
留学,liúxué,留学,3,3,hsk3
年级,niánjí,年级,3,3,hsk3
皮鞋,píxié,皮鞋,3,3,hsk3
其实,qíshí,其实,3,3,hsk3
完成,wánchéng,完成,3,3,hsk3
银行,yínháng,银行,3,3,hsk3
着急,zháojí,着急,3,3,hsk3
词典,cídiǎn,词典,3,3,hsk3
而且,érqiě,而且,3,3,hsk3
啤酒,píjiǔ,啤酒,3,3,hsk3
如果,rúguǒ,如果,3,3,hsk3
不但,bùdàn,不但,3,3,hsk3
成绩,chéngjì,成绩,3,3,hsk3
城市,chéngshì,城市,3,3,hsk3
迟到,chídào,迟到,3,3,hsk3
环境,huánjìng,环境,3,3,hsk3
节目,jiémù,节目,3,3,hsk3
结束,jiéshù,结束,3,3,hsk3
节日,jiérì,节日,3,3,hsk3
决定,juédìng,决定,3,3,hsk3
难过,nánguò,难过,3,3,hsk3
奇怪,qíguài,奇怪,3,3,hsk3
然后,ránhòu,然后,3,3,hsk3
容易,róngyì,容易,3,3,hsk3
同事,tóngshì,同事,3,3,hsk3
同意,tóngyì,同意,3,3,hsk3
文化,wénhuà,文化,3,3,hsk3
习惯,xíguàn,习惯,3,3,hsk3
一定,yídìng,一定,3,3,hsk3
一共,yīgòng,一共,3,3,hsk3
一会儿,yīhuìer,一会儿,3,3,hsk3
一样,yīyàng,一样,3,3,hsk3
游戏,yóuxì,游戏,3,3,hsk3
鼻子,bízi,鼻子,3,3,hsk3
别人,biérén,别人,3,3,hsk3
除了,chúle,除了,3,3,hsk3
还是,háishì,还是,3,3,hsk3
明白,míngbái,明白,3,3,hsk3
盘子,pánzi,盘子,3,3,hsk3
瓶子,píngzi,瓶子,3,3,hsk3
裙子,qúnzi,裙子,3,3,hsk3
头发,tóufà,头发,3,3,hsk3
爷爷,yéyé,爷爷,3,3,hsk3
北方,běifāng,北方,3,3,hsk3
简单,jiǎndān,简单,3,3,hsk3
起飞,qǐfēi,起飞,3,3,hsk3
小心,xiǎoxīn,小心,3,3,hsk3
检查,jiǎnchá,检查,3,3,hsk3
解决,jiějué,解决,3,3,hsk3
水平,shuǐpíng,水平,3,3,hsk3
选择,xuǎnzé,选择,3,3,hsk3
以前,yǐqián,以前,3,3,hsk3
有名,yǒumíng,有名,3,3,hsk3
打扫,dǎsǎo,打扫,3,3,hsk3
了解,liǎojiě,了解,3,3,hsk3
洗澡,xǐzǎo,洗澡,3,3,hsk3
影响,yǐngxiǎng,影响,3,3,hsk3
只有,zhǐyǒu,只有,3,3,hsk3
比较,bǐjiào,比较,3,3,hsk3
比赛,bǐsài,比赛,3,3,hsk3
打算,dǎsuàn,打算,3,3,hsk3
感冒,gǎnmào,感冒,3,3,hsk3
可爱,kěài,可爱,3,3,hsk3
礼物,lǐwù,礼物,3,3,hsk3
马上,mǎshàng,马上,3,3,hsk3
满意,mǎnyì,满意,3,3,hsk3
努力,nǔlì,努力,3,3,hsk3
请假,qǐngjià,请假,3,3,hsk3
体育,tǐyù,体育,3,3,hsk3
饮料,yǐnliào,饮料,3,3,hsk3
主要,zhǔyào,主要,3,3,hsk3
总是,zǒngshì,总是,3,3,hsk3
耳朵,ěrduǒ,耳朵,3,3,hsk3
奶奶,nǎinǎi,奶奶,3,3,hsk3
起来,qǐlái,起来,3,3,hsk3
必须,bìxū,必须,3,3,hsk3
菜单,càidān,菜单,3,3,hsk3
衬衫,chènshān,衬衫,3,3,hsk3
蛋糕,dàngāo,蛋糕,3,3,hsk3
电梯,diàntī,电梯,3,3,hsk3
放心,fàngxīn,放心,3,3,hsk3
健康,jiànkāng,健康,3,3,hsk3
面包,miànbāo,面包,3,3,hsk3
认真,rènzhēn,认真,3,3,hsk3
一般,yìbān,一般,3,3,hsk3
一边,yībiān,一边,3,3,hsk3
地图,dìtú,地图,3,3,hsk3
复习,fùxí,复习,3,3,hsk3
后来,hòulái,后来,3,3,hsk3
季节,jìjié,季节,3,3,hsk3
客人,kèrén,客人,3,3,hsk3
练习,liànxí,练习,3,3,hsk3
热情,rèqíng,热情,3,3,hsk3
认为,rènwéi,认为,3,3,hsk3
数学,shùxué,数学,3,3,hsk3
太阳,tàiyáng,太阳,3,3,hsk3
特别,tèbié,特别,3,3,hsk3
一直,yìzhí,一直,3,3,hsk3
办法,bànfǎ,办法,3,3,hsk3
地铁,dìtiě,地铁,3,3,hsk3
或者,huòzhě,或者,3,3,hsk3
历史,lìshǐ,历史,3,3,hsk3
上网,shàngwǎng,上网,3,3,hsk3
校长,xiàozhǎng,校长,3,3,hsk3
自己,zìjǐ,自己,3,3,hsk3
爱好,àihào,爱好,3,3,hsk3
变化,biànhuà,变化,3,3,hsk3
动物,dòngwù,动物,3,3,hsk3
锻炼,duànliàn,锻炼,3,3,hsk3
附近,fùjìn,附近,3,3,hsk3
过去,guòqù,过去,3,3,hsk3
害怕,hàipà,害怕,3,3,hsk3
护照,hùzhào,护照,3,3,hsk3
会议,huìyì,会议,3,3,hsk3
见面,jiànmiàn,见面,3,3,hsk3
世界,shìjiè,世界,3,3,hsk3
忘记,wàngjì,忘记,3,3,hsk3
遇到,yùdào,遇到,3,3,hsk3
愿意,yuànyì,愿意,3,3,hsk3
照片,zhàopiān,照片,3,3,hsk3
重要,zhòngyào,重要,3,3,hsk3
注意,zhùyì,注意,3,3,hsk3
最后,zuìhòu,最后,3,3,hsk3
最近,zuìjìn,最近,3,3,hsk3
作业,zuòyè,作业,3,3,hsk3
地方,dìfāng,地方,3,3,hsk3
个子,gèzi,个子,3,3,hsk3
故事,gùshì,故事,3,3,hsk3
记得,jìde,记得,3,3,hsk3
句子,jùzi,句子,3,3,hsk3
裤子,kùzi,裤子,3,3,hsk3
筷子,kuàizi,筷子,3,3,hsk3
帽子,màozi,帽子,3,3,hsk3
为了,wèile,为了,3,3,hsk3
月亮,yuèliàng,月亮,3,3,hsk3
照顾,zhàogù,照顾,3,3,hsk3
更,gèng,更,3,3,hsk3
图书馆,túshūguǎn,图书馆,3,3,hsk3
行李箱,xínglǐxiāng,行李箱,3,3,hsk3
洗手间,xǐshǒujiān,洗手间,3,3,hsk3
笔记本,bǐjìběn,笔记本,3,3,hsk3
感兴趣,gǎnxìngqù,感兴趣,3,3,hsk3
办公室,bàngōngshì,办公室,3,3,hsk3
自行车,zìxíngchē,自行车,3,3,hsk3
照相机,zhàoxiàngjī,照相机,3,3,hsk3
信用卡,xìnyòngkǎ,信用卡,3,3,hsk3
电子邮件,diànziyóujiàn,电子邮件,3,3,hsk3
擦,cā,擦,4,3,hsk4
猜,cāi,猜,4,3,hsk4
当,dāng,当,4,3,hsk4
刀,dāo,刀,4,3,hsk4
低,dī,低,4,3,hsk4
丢,diū,丢,4,3,hsk4
干,gàn,干,4,3,hsk4
刚,gāng,刚,4,3,hsk4
光,guāng,光,4,3,hsk4
交,jiāo,交,4,3,hsk4
棵,kē,棵,4,3,hsk4
空,kōng,空,4,3,hsk4
拉,lā,拉,4,3,hsk4
篇,piān,篇,4,3,hsk4
敲,qiāo,敲,4,3,hsk4
轻,qīng,轻,4,3,hsk4
扔,rēng,扔,4,3,hsk4
深,shēn,深,4,3,hsk4
收,shōu,收,4,3,hsk4
输,shū,输,4,3,hsk4
酸,suān,酸,4,3,hsk4
汤,tāng,汤,4,3,hsk4
推,tuī,推,4,3,hsk4
脱,tuō,脱,4,3,hsk4
香,xiāng,香,4,3,hsk4
脏,zàng,脏,4,3,hsk4
之,zhī,之,4,3,hsk4
租,zū,租,4,3,hsk4
尝,cháng,尝,4,3,hsk4
存,cún,存,4,3,hsk4
而,ér,而,4,3,hsk4
节,jié,节,4,3,hsk4
连,lián,连,4,3,hsk4
留,liú,留,4,3,hsk4
毛,máo,毛,4,3,hsk4
陪,péi,陪,4,3,hsk4
桥,qiáo,桥,4,3,hsk4
穷,qióng,穷,4,3,hsk4
台,tái,台,4,3,hsk4
抬,tái,抬,4,3,hsk4
谈,tán,谈,4,3,hsk4
糖,táng,糖,4,3,hsk4
提,tí,提,4,3,hsk4
停,tíng,停,4,3,hsk4
无,wú,无,4,3,hsk4
咸,xián,咸,4,3,hsk4
行,xíng,行,4,3,hsk4
盐,yán,盐,4,3,hsk4
赢,yíng,赢,4,3,hsk4
由,yóu,由,4,3,hsk4
云,yún,云,4,3,hsk4
场,chǎng,场,4,3,hsk4
倒,dào,倒,4,3,hsk4
底,dǐ,底,4,3,hsk4
赶,gǎn,赶,4,3,hsk4
敢,gǎn,敢,4,3,hsk4
火,huǒ,火,4,3,hsk4
假,jiǎ,假,4,3,hsk4
举,jǔ,举,4,3,hsk4
苦,kǔ,苦,4,3,hsk4
懒,lǎn,懒,4,3,hsk4
俩,liǎ,俩,4,3,hsk4
满,mǎn,满,4,3,hsk4
秒,miǎo,秒,4,3,hsk4
取,qǔ,取,4,3,hsk4
省,shěng,省,4,3,hsk4
使,shǐ,使,4,3,hsk4
死,sǐ,死,4,3,hsk4
躺,tǎng,躺,4,3,hsk4
挺,tǐng,挺,4,3,hsk4
响,xiǎng,响,4,3,hsk4
醒,xǐng,醒,4,3,hsk4
以,yǐ,以,4,3,hsk4
